c45,%correct,,
Dataset,ori,cfs,cns
CM1-R200,61.23,62.32,62.16
CM1-SpreadSubsample,63.03,63.31,62.61
JM1,80.42,80.37,80.34
JM1-R200,58.01,59.2,58.5
JM1-SpreadSubsample,57.86,59.42,58.34
KC1,82.46,82.73,82.3
KC1-R200,64.46,64.3,64.43
KC1-SpreadSubsample,62.3,62.3,62.87
KC2,83.62,83.6,83.97
KC2-R200,66.04,68.13,66.37
KC2-SpreadSubsample,67.2,68.55,68.65
PC1,89,90.05,88.74
PC1-R200,60.42,58.24,59.23
PC1-SpreadSubsample,64.27,67.17,67.19
'[v/ /*]','','',''


NB ,f-measure,,
Dataset,Ori,CFS,CNS
CM1,0.91,0.93,0.95
CM1-R200,0.69,0.69,0.69
CM1-SpreadSubsample,0.71,0.71,0.7
JM1,0.89,0.89,0.89
JM1-R200,0.69,0.7,0.69
JM1-SpreadSubsample,0.69,0.7,0.69
KC1,0.9,0.9,0.9
KC1-R200,0.72,0.71,0.72
KC1-SpreadSubsample,0.7,0.7,0.7
KC2,0.9,0.9,0.9
KC2-R200,0.73,0.74,0.73
KC2-SpreadSubsample,0.75,0.75,0.75
PC1,0.94,0.95,0.94
PC1-R200,0.69,0.68,0.69
PC1-SpreadSubsample,0.73,0.74,0.74
'[v/ /*]','','',''



NB,AUC,,
Dataset,Ori,CFS,CNS
CM1,0.74,0.74,0.52
CM1-R200,0.76,0.76,0.75
CM1-SpreadSubsample,0.67,0.65,0.65
JM1,0.69,0.67,0.69
JM1-R200,0.69,0.67,0.69
JM1-SpreadSubsample,0.69,0.67,0.69
KC1,0.79,0.79,0.79
KC1-R200,0.79,0.8,0.8
KC1-SpreadSubsample,0.77,0.77,0.77
KC2,0.84,0.84,0.84
KC2-R200,0.85,0.84,0.84
KC2-SpreadSubsample,0.83,0.83,0.83
PC1,0.71,0.75,0.73
PC1-R200,0.71,0.69,0.66
PC1-SpreadSubsample,0.72,0.8,0.79
'[v/ /*]','','',''



NB,True Neg Rate,,
Dataset,[1],[2],[3]
CM1,0.3,0.28,0.01
CM1-R200,0.35,0.37,0.37
CM1-SpreadSubsample,0.35,0.37,0.36
JM1,0.2,0.22,0.21
JM1-R200,0.21,0.24,0.23
JM1-SpreadSubsample,0.21,0.25,0.22
KC1,0.37,0.35,0.38
KC1-R200,0.38,0.39,0.39
KC1-SpreadSubsample,0.37,0.37,0.39
KC2,0.41,0.44,0.45
KC2-R200,0.4,0.45,0.41
KC2-SpreadSubsample,0.39,0.42,0.43
PC1,0.3,0.31,0.3
PC1-R200,0.31,0.27,0.29
PC1-SpreadSubsample,0.34,0.41,0.42
'[v/ /*]','','',''
